, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  3  Sequence:  5  Sequence mean error:  tensor(2.2865, device='cuda:0')  Sequence final error:  tensor(6.1294, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  4  Sequence:  1  Sequence mean error:  tensor(2.1420, device='cuda:0')  Sequence final error:  tensor(4.5361, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  4  Sequence:  2  Sequence mean error:  tensor(0.5537, device='cuda:0')  Sequence final error:  tensor(0.5830, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  4  Sequence:  3  Sequence mean error:  tensor(0.6482, device='cuda:0')  Sequence final error:  tensor(1.2201, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  4  Sequence:  4  Sequence mean error:  tensor(0.5529, device='cuda:0')  Sequence final error:  tensor(1.1450, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  4  Sequence:  5  Sequence mean error:  tensor(0.5339, device='cuda:0')  Sequence final error:  tensor(0.9182, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  5  Sequence:  1  Sequence mean error:  tensor(0.3188, device='cuda:0')  Sequence final error:  tensor(0.6576, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  5  Sequence:  2  Sequence mean error:  tensor(0.3610, device='cuda:0')  Sequence final error:  tensor(0.7742, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  5  Sequence:  3  Sequence mean error:  tensor(0.3448, device='cuda:0')  Sequence final error:  tensor(0.6155, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  5  Sequence:  4  Sequence mean error:  tensor(0.4035, device='cuda:0')  Sequence final error:  tensor(0.6169, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  5  Sequence:  5  Sequence mean error:  tensor(0.5722, device='cuda:0')  Sequence final error:  tensor(0.9986, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  6  Sequence:  1  Sequence mean error:  tensor(0.5728, device='cuda:0')  Sequence final error:  tensor(1.1745, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  6  Sequence:  2  Sequence mean error:  tensor(0.5393, device='cuda:0')  Sequence final error:  tensor(0.8664, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  6  Sequence:  3  Sequence mean error:  tensor(0.5047, device='cuda:0')  Sequence final error:  tensor(0.4167, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  6  Sequence:  4  Sequence mean error:  tensor(0.5682, device='cuda:0')  Sequence final error:  tensor(0.9815, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  6  Sequence:  5  Sequence mean error:  tensor(1.2712, device='cuda:0')  Sequence final error:  tensor(3.9738, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  7  Sequence:  1  Sequence mean error:  tensor(1.5487, device='cuda:0')  Sequence final error:  tensor(5.2437, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  7  Sequence:  2  Sequence mean error:  tensor(1.4207, device='cuda:0')  Sequence final error:  tensor(3.7967, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  7  Sequence:  3  Sequence mean error:  tensor(0.3286, device='cuda:0')  Sequence final error:  tensor(0.6916, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  7  Sequence:  4  Sequence mean error:  tensor(0.4330, device='cuda:0')  Sequence final error:  tensor(0.6870, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  7  Sequence:  5  Sequence mean error:  tensor(0.3772, device='cuda:0')  Sequence final error:  tensor(0.5851, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  8  Sequence:  1  Sequence mean error:  tensor(0.6452, device='cuda:0')  Sequence final error:  tensor(1.3732, device='cuda:0')  time:  0.29308509826660156
